username,repo_name,stars,repo_url
flutter,flutter,159000,https://github.com/flutter/flutter
facebook,react-native,114000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,108000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,97200,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,73800,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,50000,https://github.com/Solido/awesome-flutter
google,material-design-icons,49300,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,48300,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44900,https://github.com/square/okhttp
android,architecture-samples,43500,https://github.com/android/architecture-samples
square,retrofit,42400,https://github.com/square/retrofit
laurent22,joplin,40500,https://github.com/laurent22/joplin
appwrite,appwrite,39000,https://github.com/appwrite/appwrite
dcloudio,uni-app,39000,https://github.com/dcloudio/uni-app
fastlane,fastlane,38300,https://github.com/fastlane/fastlane
skylot,jadx,37900,https://github.com/skylot/jadx
PhilJay,MPAndroidChart,37100,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,34500,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,34400,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,34200,https://github.com/bumptech/glide
